name,cluster_id
Jambon d'York,1556
White Bread,1013
Port Salut Cheese,7851
Walnuts,4985
Smoked Ham,6995
Corned Beef Hash with Poached Egg,6506
"Spaghetti, Italienne",9051
Hors d'oeuvres varies,7624
Golden Buck,5866
Small Sirloin Steak,2800
Baba au rhum,9356
New Potatoes in Cream,8178
Crème Caramel,7131
Milk fed chicken,2348
Crackers and Cheese,9069
Swiss Cream Cheese,7350
Onion Omelette,8436
Pickled Lamb's Tongue,869
Filberts,2035
Mint Julep,1796
Turkey Sandwich,6886
Delicious Apple,2461
Scallions,8
"Cocoa, Per Pot",9078
Orange Pekoe,7839
after dinner mints,6766
"Soft Shell crabs, Tartar sauce",3696
Sugar Corn,4607
Gumbo Creole,1016
Potatoes au gratin,9656
BROILED LIVE LOBSTER,5031
Chicken hash,3756
Italian Vermouth,6457
Bacardi,507
Vanilla Custard Pie,6704
Beef tea,4691
Madrilene,4279
Bromo Seltzer,7528
Potatoes Saute,7540
Lyonnaise,4275
Cup Chicken Broth,5905
Lemon Meringue Pie,9503
Seafood Cocktail,1089
oatmeal with cream,7609
Ribs of prime beef au jus,8240
Sliced Tomato Salad,3900
Vienna Pastry,854
Ananas,4885
Roast ribs of beef,8507
Assorted Rolls,4550
Stewed Celery,5797
Asparagus on Toast,1369
Julienne Potatoes,9406
Preserved Pears,212
Mignardises,7044
Striped bass,4357
Stewed fresh rhubarb,2535
Potatoes Stewed in Cream,9263
Quail,946
mushrooms,4297
Fruit Compote,8391
Strawberry,566
york ham,7023
Puffed rice,9002
imported sardines,5353
Jelly omelette,4124
Fish,883
Pork tenderloin,667
Omelette with mushrooms,8477
Garden Peas,5645
Preserved Apricots,921
Consomme with rice,9334
Fried egg-plant,781
Nectarines,4897
Saumon fume,7964
Corn on Cob,3556
Cream of asparagus,8522
Bread and Milk,7109
Beets Saute in Butter,7520
Grapefruit (Half),7929
Giant peeled asparagus,3514
Carrots Saute,3066
Sirloin steak (for 2),9440
Soup,3208
Bread or Rolls and Butter,6859
Sherry Cobbler,9253
Cherry Stone clams,8722
Vanilla Cup Custard,1301
Celery and Olives,3857
Bluepoint Oysters,317
Hearts of Romaine Salad,9543
Grape Nuts with Cream,6798
Creme Yvette,9299
Cup Consomme,8716
Anchovies on Toast,3492
Royal Fizz,4689
Sweet corn,61
Orange Marmalade,8056
Hubbard Squash,3578
Broiled Sirloin Steak,9154
Hamburger Steak with Onions,9492
Little Neck Clam Cocktail,210
Artichokes,7595
Sliced onions,1584
anchovy canape,6594
Clover Club,2037
Cup of Clam Broth,8380
Cotuit oysters,2909
Croute au pot,4316
Chicken Livers en Brochette,8091
FRENCH ICE CREAM,6385
Wheat Cakes with Maple Syrup,7679
Scrambled Eggs with Ham,4559
Sahne,1291
Omelette with tomatoes,1134
Bisque of Lobster,2344
IRISH WHISKEY,6112
Omelette with parsley,8983
Tenderloin Steak with Onions,6016
Poulet grille,1456
Assorted Pies,6856
Banana Ice Cream,5225
Brussel Sprouts,8968
Omelette with jelly,6243
Asparagus salad,7823
Canadian Club Whiskey,8727
Summer Squash,6387
French Fried Onions,3027
Roast Prime Ribs of Beef au jus,9507
Jelly Omelet,4526
Pfannkuchen,4416
Crabmeat Salad,7832
"Coffee, cup",8860
Smoked eel,2055
country sausages,1978
Strawberry tartlet,4323
Ham Omelette,43
Pecans,1359
Special Coffee,5532
Madeira,1459
"Gumbo, Creole",7897
Mackerel in Oil,4015
Breast of chicken,5363
Canadian,5675
Wiener Schnitzel,6290
Braised Celery,191
Fresh Lobster Salad,7045
Smelts,5238
Whole Wheat Bread,1558
Calf's liver with bacon,8920
Tea with cream,9657
Stewed Apples,7082
"Potatoes, Hashed in cream",8366
Wild Rice,3960
Huckleberry Pie,7366
MAYONNAISE OF CHICKEN,5742
"Oysters, Fried",7726
Omelet with ham,7211
Green Turtle,2947
Clam Stew,546
Desserts,8022
Chili Sauce,5847
Port-du-Salut,1379
Vanilla,432
Potatoes in Cream,6917
