id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,cluster_id
9975,Salted Nuts,,397,421,1896,1965,0.1,0.4,2647
763,Sherry,,397,421,1866,1990,0.0,3.5,2136
133548,Tomato Juice Cocktail,,336,420,1927,1985,0.0,1.5,3162
1515,Golden buck,,409,418,1882,1978,0.0,50.0,1158
181,Chicken broth,,401,412,1881,1971,0.0,50.0,8899
1736,Pickled beets,,388,409,1865,1980,0.0,20.0,7329
595,Hot Rolls,,382,406,1853,1983,0.05,0.25,8106
761,Pontet Canet,,365,400,1859,1955,0.0,200.0,989
374088,Roquefort Cheese,,353,398,1882,1985,0.0,10.0,6174
1103,Saute Potatoes,,383,395,1,1973,0.0,20.0,9386
1214,Cream,,359,392,1887,1970,0.0,30.0,1020
77,St. Julien,,336,392,1851,1970,0.0,175.0,8912
4619,Meringue glacee,,373,392,1882,1987,0.0,40.0,8542
210661,Russian Dressing,,371,391,1914,1987,0.0,0.75,8435
252,Small Steak,,383,389,1892,1957,0.0,75.0,6079
373292,French Peas,,378,388,1890,2928,0.1,15.0,8568
6277,Green Apple Pie,,364,387,1873,1980,0.05,25.0,3542
44348,Clam Juice Cocktail,,309,387,1900,1982,0.0,25.0,1091
7956,Chiffonade Salad,,371,386,1897,1974,0.0,60.0,8140
794,Cakes,,376,383,1887,1988,0.0,2.75,587
1441,PORT,,370,382,1881,1989,0.0,6.0,2675
2151,CLAM BROTH,,361,382,1892,1987,0.0,50.0,7382
735,Mashed Turnips,,369,381,1856,1955,0.0,25.0,8994
7371,Brie cheese,,349,381,1882,1987,0.0,25.0,2370
1377,Anisette,,374,380,1851,1981,0.0,85.0,1317
2224,Sardine Sandwich,,365,378,1892,1961,0.0,25.0,3199
5113,Virginia Ham,,363,378,1,2928,0.0,75.0,5728
6756,Cold Corned Beef,,373,376,1854,1965,0.0,15.0,6619
423,Calf's Liver and Bacon,,362,374,1,1967,0.0,40.0,297
144559,Pineapple Juice,,338,374,1,1989,0.0,4.5,8209
13705,FRENCH DRESSING,,354,373,1890,1989,0.1,0.6,7849
10487,FRESH FRUIT,,328,373,1882,1990,0.0,4.5,6409
376294,Lobster Salad,,337,370,1865,1979,0.25,60.0,9468
15133,Cottage Cheese,,308,368,1898,1987,0.0,1.35,762
3922,Cake,,360,368,1851,1978,0.0,5.75,587
15831,Candied Sweet Potatoes,,356,365,1898,1987,0.1,25.0,1314
5085,Watercress Salad,,354,365,1882,1974,0.0,30.0,3214
1105,Watercress,,360,365,1891,2928,0.1,30.0,5231
766,Niersteiner,,340,364,1864,1983,0.0,100.0,5559
253,Hamburger Steak,,319,360,1893,1987,0.0,20.0,8474
838,Cucumber,,326,360,1887,2928,0.0,50.0,3130
553,Strawberries and Cream,,340,359,1880,1969,0.0,50.0,7628
1973,Raspberry Water Ice,,344,359,1889,1961,0.09,0.45,8564
52764,Mixed Grill,,321,358,1905,1980,0.0,85.0,7542
28598,Stuffed celery,,322,355,1900,1965,0.0,65.0,1596
186,Plain Omelette,,322,355,1881,1987,0.0,15.0,868
1544,Roast chicken,,343,354,1857,1981,0.0,150.0,2979
1448,Amontillado,,348,353,1851,1967,0.0,20.0,9666
153,Malaga grapes,,351,353,1882,1941,0.1,40.0,2056
373416,Apple,,340,352,1905,1964,0.0,15.0,8508
14683,Clam juice,,297,352,1894,1973,0.1,20.0,6399
399,Tomato Soup,,317,352,1852,1974,0.0,10.0,5554
287,Poached Eggs on Toast,,348,352,1892,1968,0.0,20.0,9482
374956,Boiled Potatoes,,328,352,1854,1969,0.0,25.0,9363
352,Buckwheat Cakes,,346,350,1,1962,0.0,20.0,6453
478,Shirred Eggs,,342,347,1858,1969,0.0,19.0,9672
165,Lady fingers,,341,347,1858,1949,0.05,15.0,8201
2025,Manhattan,,330,346,1896,1999,0.0,85.0,9696
4270,Macaroni au gratin,,339,345,1857,1969,0.0,40.0,8389
911,Cotuits,,300,345,1900,2928,0.0,45.0,4634
4484,Chow-chow,,326,344,1873,1961,0.05,10.0,7915
7176,Potatoes au Gratin,,336,344,1884,1963,0.0,25.0,8652
377351,Cucumber Salad,,296,344,1893,1969,0.1,1.55,9333
1557,Lobster,,306,341,1856,2928,0.0,75.0,710
2430,Currant Jelly,,334,341,1,1965,0.05,20.0,588
43513,Endive Salad,,301,340,1891,1973,0.0,75.0,335
41,Strawberries,,304,339,1854,1985,0.0,50.0,7458
737,Potatoes,,302,338,1856,2928,0.0,15.0,229
3958,Pineapple,,320,337,1884,1987,0.0,25.0,7294
12658,Green Turtle Soup,,328,337,1862,1969,0.0,2.5,4554
9512,Grapefruit Supreme,,222,335,1907,1964,0.0,75.0,1201
6980,Chartreuse,,329,334,1865,1990,0.0,20.0,30
3335,Graham bread,,331,334,1859,1970,0.05,15.0,7099
537,Salt mackerel,,327,333,1859,1945,0.0,30.0,2860
1389,Absinthe,,327,331,1859,1973,0.0,20.0,5209
1369,Curacao,,323,330,1881,1980,0.0,30.0,2840
2594,Martini,,315,325,1894,1999,0.0,3.95,7612
4199,New green peas,,316,324,1882,1960,0.0,35.0,9601
581,Stilton Cheese,,287,324,1881,1987,0.0,10.0,5796
1657,Dill Pickles,,321,323,1894,1965,0.0,15.0,9194
3405,Pickled Walnuts,,318,323,1889,1974,0.0,20.0,5985
1463,Pommard,,311,322,1881,1978,0.0,200.0,1837
1562,Romaine,,290,322,1892,1969,0.0,75.0,4678
1268,Hashed browned potatoes,,306,322,1895,1972,0.0,20.0,8333
3934,Preserves,,318,322,1882,1963,0.0,0.6,4425
4392,Mixed Pickles,,290,321,1865,1975,0.0,15.0,5140
10272,Royal Squab,,262,320,1901,1959,0.0,4.55,3325
3953,Biscuit Glace,,302,319,1882,2928,0.0,35.0,2436
6228,Poussin,,264,318,1900,1978,0.0,125.0,1377
1742,Escarole,,269,317,1892,1961,0.15,60.0,5751
1391,Kummel,,311,317,1881,1981,0.1,85.0,380
